data/livejournal-groupmemberships/livejournal.txt 
graph size:n1: 3201203 n2:7489073, m 112307385
2201206 7488776, 18108 11  0
2201206 7488814, 27311 10  0
2201206 7488831, 23658 9  0
2201206 7488947, 26402 8  0
2201206 7488950, 37909 7  0
2201206 7488967, 38692 6  0
2201206 7488978, 43608 5  0
2201206 7489030, 72294 4  0
2201206 7489034, 48642 3  0
2201206 7489047, 78074 2  0
2201206 7489054, 85908 1  0
2201207 6214857, 1 34  0
2201207 7169523, 9 33  0
2201207 7438574, 103 32  0
2201207 7460380, 267 31  0
2201207 7463596, 260 30  0
2201207 7463605, 279 29  0
2201207 7470950, 178 28  0
2201207 7473329, 546 27  0
2201207 7476141, 727 26  0
2201207 7478195, 867 25  0
2201207 7479904, 1076 24  0
2201207 7481102, 1363 23  0
2201207 7481616, 1252 22  0
2201207 7481680, 1283 21  0
2201207 7484729, 1877 20  0
2201207 7485091, 2514 19  0
2201207 7485433, 2828 18  0
2201207 7485632, 2957 17  0
2201207 7486014, 3476 16  0
2201207 7486070, 3549 15  0
2201207 7486239, 3112 14  0
2201207 7486879, 4672 13  0
2201207 7487607, 5713 12  0
2201207 7488028, 9568 11  0
2201207 7488032, 9459 10  0
2201207 7488113, 8490 9  0
2201207 7488355, 8415 8  0
2201207 7488506, 12576 7  0
2201207 7488536, 11686 6  0
2201207 7488571, 15778 5  0
2201207 7488683, 15247 4  0
2201207 7488764, 16066 3  0
2201207 7488897, 20960 2  0
2201207 7489042, 40891 1  0
2201208 6468268, 1 34  0
2201208 7314902, 10 33  0
2201208 7339088, 25 32  0
2201208 7403965, 40 31  0
2201208 7407018, 58 30  0
2201208 7419294, 89 29  0
2201208 7430705, 75 28  0
2201208 7438934, 120 27  0
2201208 7446109, 90 26  0
2201208 7447379, 98 25  0
2201208 7451888, 112 24  0
2201208 7456149, 108 23  0
2201208 7457904, 183 22  0
2201208 7459577, 127 21  0
2201208 7465712, 93 20  0
2201208 7466116, 255 19  0
2201208 7470016, 354 18  0
2201208 7471551, 279 17  0
2201208 7472277, 315 16  0
2201208 7475644, 324 15  0
2201208 7475761, 532 14  0
2201208 7481126, 756 13  0
2201208 7481474, 784 12  0
2201208 7483170, 1428 11  0
2201208 7483690, 745 10  0
2201208 7485544, 1950 9  0
2201208 7485556, 2737 8  0
2201208 7487910, 4997 7  0
2201208 7488139, 4561 6  0
2201208 7488487, 12407 5  0
2201208 7488707, 16220 4  0
2201208 7489023, 46282 3  0
2201208 7489025, 27865 2  0
2201208 7489044, 49882 1  0
2201209 6918420, 4 35  0
2201209 7006451, 3 34  0
2201209 7245598, 9 33  0
2201209 7340543, 27 32  0
2201209 7350911, 34 31  0
2201209 7391415, 45 30  0
2201209 7410309, 54 29  0
2201209 7432237, 90 28  0
2201209 7432551, 65 27  0
2201209 7447344, 139 26  0
2201209 7449446, 52 25  0
2201209 7451659, 170 24  0
2201209 7477602, 597 23  0
2201209 7479799, 782 22  0
2201209 7480772, 1240 21  0
2201209 7483588, 1906 20  0
2201209 7484715, 1368 19  0
2201209 7487198, 4649 18  0
2201209 7487576, 5486 17  0
2201209 7488051, 6932 16  0
2201209 7488194, 9463 15  0
2201209 7488280, 10893 14  0
2201209 7488617, 16004 13  0
2201209 7488675, 18991 12  0
2201209 7488728, 20879 11  0
2201209 7488817, 25752 10  0
2201209 7488851, 18928 9  0
2201209 7488937, 35206 8  0
2201209 7488939, 33195 7  0
2201209 7488984, 35535 6  0
2201209 7489025, 50570 5  0
2201209 7489031, 53264 4  0
2201209 7489040, 55835 3  0
2201209 7489060, 112943 2  0
2201209 7489064, 133852 1  0
2201210 6654109, 2 28  0
2201210 7121861, 5 27  0
2201210 7216792, 7 26  0
2201210 7313266, 15 25  0
2201210 7353864, 23 24  0
2201210 7425024, 54 23  0
2201210 7434353, 67 22  0
2201210 7436047, 86 21  0
2201210 7438222, 74 20  0
2201210 7441774, 92 19  0
2201210 7447032, 104 18  0
2201210 7455037, 179 17  0
2201210 7456657, 178 16  0
2201210 7459161, 196 15  0
2201210 7472401, 499 14  0
2201210 7479350, 817 13  0
2201210 7482474, 1091 12  0
2201210 7483724, 1438 11  0
2201210 7485356, 2366 10  0
2201210 7486061, 2026 9  0
2201210 7486386, 2216 8  0
2201210 7487122, 3974 7  0
2201210 7487245, 3519 6  0
2201210 7487581, 5489 5  0
2201210 7487915, 6934 4  0
2201210 7488160, 6519 3  0
2201210 7488365, 8871 2  0
2201210 7488408, 7001 1  0
2201211 7283794, 14 35  0
2201211 7420241, 52 34  0
2201211 7436933, 115 33  0
2201211 7477559, 805 32  0
2201211 7482532, 1265 31  0
2201211 7483333, 1506 30  0
2201211 7484528, 1995 29  0
2201211 7484642, 2114 28  0
2201211 7485798, 2792 27  0
2201211 7486169, 3787 26  0
2201211 7486447, 3995 25  0
2201211 7487437, 6212 24  0
2201211 7487538, 6329 23  0
2201211 7487763, 5776 22  0
2201211 7487795, 7401 21  0
2201211 7487796, 7261 20  0
2201211 7488075, 9940 19  0
2201211 7488094, 10600 18  0
2201211 7488170, 12075 17  0
2201211 7488280, 11074 16  0
2201211 7488474, 15643 15  0
2201211 7488505, 17525 14  0
2201211 7488558, 17887 13  0
2201211 7488605, 13936 12  0
2201211 7488733, 24713 11  0
2201211 7488831, 27933 10  0
2201211 7488832, 31448 9  0
2201211 7488878, 30626 8  0
2201211 7488894, 32647 7  0
2201211 7488895, 31696 6  0
2201211 7488949, 48776 5  0
2201211 7488978, 52400 4  0
2201211 7489006, 63852 3  0
2201211 7489023, 40241 2  0
2201211 7489062, 138998 1  0
2201212 7417708, 71 34  0
2201212 7440801, 146 33  0
2201212 7452976, 143 32  0
2201212 7453218, 181 31  0
2201212 7477476, 816 30  0
2201212 7478807, 849 29  0
2201212 7480206, 1088 28  0
2201212 7484384, 1659 27  0
2201212 7485132, 2616 26  0
2201212 7486249, 2967 25  0
2201212 7486732, 3835 24  0
2201212 7487749, 7611 23  0
2201212 7487800, 8724 22  0
2201212 7488073, 7457 21  0
2201212 7488088, 11452 20  0
2201212 7488129, 11128 19  0
2201212 7488155, 8641 18  0
2201212 7488283, 10235 17  0
2201212 7488322, 13690 16  0
2201212 7488624, 19146 15  0
2201212 7488628, 18971 14  0
2201212 7488650, 13768 13  0
2201212 7488878, 30553 12  0
2201212 7488888, 38452 11  0
2201212 7488934, 29117 10  0
2201212 7488944, 46292 9  0
2201212 7488955, 46058 8  0
2201212 7489003, 33466 7  0
2201212 7489015, 71029 6  0
2201212 7489028, 64688 5  0
2201212 7489029, 73059 4  0
2201212 7489034, 60560 3  0
2201212 7489058, 117668 2  0
2201212 7489068, 200480 1  0
2201213 7405157, 60 31  0
2201213 7431660, 93 30  0
2201213 7448175, 98 29  0
2201213 7466511, 324 28  0
2201213 7468566, 360 27  0
2201213 7469650, 424 26  0
2201213 7475394, 621 25  0
2201213 7477391, 555 24  0
2201213 7477925, 714 23  0
2201213 7478526, 734 22  0
2201213 7482874, 1041 21  0
2201213 7483275, 1323 20  0
2201213 7484107, 851 19  0
2201213 7484516, 1593 18  0
2201213 7484940, 1842 17  0
2201213 7485560, 2960 16  0
2201213 7486462, 3910 15  0
2201213 7487595, 7509 14  0
2201213 7488253, 10840 13  0
2201213 7488881, 26691 12  0
2201213 7488887, 34908 11  0
2201213 7488984, 40218 10  0
2201213 7489021, 58811 9  0
2201213 7489040, 65169 8  0
2201213 7489045, 100296 7  0
2201213 7489053, 117929 6  0
2201213 7489056, 122849 5  0
2201213 7489057, 140073 4  0
2201213 7489058, 107383 3  0
2201213 7489069, 235159 2  0
2201213 7489070, 237554 1  0
2201214 6823870, 3 35  0
2201214 7218860, 10 34  0
2201214 7299773, 13 33  0
2201214 7461391, 209 32  0
2201214 7464197, 275 31  0
2201214 7472712, 392 30  0
2201214 7483309, 1524 29  0
2201214 7485162, 2825 28  0
2201214 7485388, 2997 27  0
2201214 7486504, 3593 26  0
2201214 7487006, 4626 25  0
2201214 7487260, 3171 24  0
2201214 7487829, 8323 23  0
2201214 7487843, 7834 22  0
2201214 7487860, 7935 21  0
2201214 7487878, 8075 20  0
2201214 7487883, 8452 19  0
2201214 7488226, 7935 18  0
2201214 7488233, 11292 17  0
2201214 7488361, 13393 16  0
2201214 7488432, 13262 15  0
2201214 7488694, 22643 14  0
2201214 7488704, 24731 13  0
2201214 7488855, 36144 12  0
2201214 7488900, 39603 11  0
2201214 7488955, 47703 10  0
2201214 7488993, 34103 9  0
2201214 7489017, 63116 8  0
2201214 7489019, 35686 7  0
2201214 7489026, 64083 6  0
2201214 7489046, 116613 5  0
2201214 7489047, 99231 4  0
2201214 7489051, 108139 3  0
2201214 7489066, 191229 2  0
2201214 7489067, 189824 1  0
2201215 5838622, 1 30  0
2201215 6111691, 1 28  0
2201215 6403986, 1 27  0
2201215 7428824, 79 26  0
2201215 7468120, 207 25  0
2201215 7469074, 69 24  0
2201215 7474869, 384 23  0
2201215 7474982, 485 22  0
2201215 7478433, 607 21  0
2201215 7478878, 628 20  0
2201215 7484151, 1759 19  0
2201215 7484818, 1976 18  0
2201215 7485222, 2274 17  0
2201215 7485786, 2479 16  0
2201215 7486667, 3797 15  0
2201215 7487298, 4552 14  0
2201215 7487729, 6848 13  0
2201215 7487868, 5724 12  0
2201215 7488063, 6137 11  0
2201215 7488339, 11819 10  0
2201215 7488635, 14801 9  0
2201215 7488713, 19299 8  0
2201215 7488970, 44290 7  0
2201215 7488974, 32592 6  0
2201215 7489021, 52571 5  0
2201215 7489026, 54361 4  0
2201215 7489047, 84054 3  0
2201215 7489057, 117254 2  0
2201215 7489065, 99122 1  0
2201216 7479874, 1141 35  0
2201216 7485369, 2980 34  0
2201216 7486175, 3722 33  0
2201216 7486516, 4400 32  0
2201216 7487248, 6143 31  0
2201216 7487280, 5664 30  0
2201216 7487366, 6385 29  0
2201216 7487904, 8655 28  0
2201216 7488421, 16638 27  0
2201216 7488522, 16150 26  0
2201216 7488598, 20292 25  0
2201216 7488626, 21361 24  0
2201216 7488686, 24361 23  0
2201216 7488798, 26199 22  0
2201216 7488816, 24696 21  0
2201216 7488826, 33694 20  0
2201216 7488862, 34532 19  0
2201216 7488879, 34151 18  0
2201216 7488880, 40553 17  0
2201216 7488934, 30405 16  0
2201216 7488945, 51866 15  0
2201216 7488946, 47154 14  0
2201216 7489002, 61369 13  0
2201216 7489003, 36128 12  0
2201216 7489004, 74206 11  0
2201216 7489013, 74469 10  0
2201216 7489020, 64833 9  0
2201216 7489038, 80409 8  0
2201216 7489048, 107594 7  0
2201216 7489056, 130150 6  0
2201216 7489061, 164529 5  0
2201216 7489063, 175113 4  0
2201216 7489066, 206401 3  0
2201216 7489067, 211014 2  0
2201216 7489069, 250132 1  0
2201217 7456152, 257 35  0
2201217 7478033, 936 34  0
2201217 7478889, 1024 33  0
2201217 7484431, 2454 32  0
2201217 7484599, 2457 31  0
2201217 7485986, 3872 30  0
2201217 7486524, 4645 29  0
2201217 7486634, 4957 28  0
2201217 7487200, 6521 27  0
2201217 7487563, 7219 26  0
2201217 7487770, 8168 25  0
2201217 7487848, 9175 24  0
2201217 7488151, 11769 23  0
2201217 7488170, 12554 22  0
2201217 7488283, 11274 21  0
2201217 7488369, 15123 20  0
2201217 7488505, 18482 19  0
2201217 7488754, 26702 18  0
2201217 7488799, 27362 17  0
2201217 7488813, 19661 16  0
2201217 7488836, 22217 15  0
2201217 7488849, 32069 14  0
2201217 7488864, 36567 13  0
2201217 7488870, 36251 12  0
2201217 7488878, 33852 11  0
2201217 7488897, 30635 10  0
2201217 7488943, 39232 9  0
2201217 7488945, 47629 8  0
2201217 7488978, 56684 7  0
2201217 7488982, 58672 6  0
2201217 7488993, 39110 5  0
2201217 7489027, 45265 4  0
2201217 7489052, 89987 3  0
2201217 7489065, 117995 2  0
2201217 7489068, 205981 1  0
2201218 5613779, 1 22  0
2201218 7251623, 6 19  0
2201218 7303076, 1 18  0
2201218 7319801, 5 17  0
2201218 7360797, 18 16  0
2201218 7378140, 13 15  0
2201218 7390709, 13 14  0
2201218 7421790, 32 13  0
2201218 7436817, 49 12  0
2201218 7449369, 42 11  0
2201218 7481598, 274 10  0
2201218 7482784, 597 9  0
2201218 7483450, 728 8  0
2201218 7485363, 659 7  0
2201218 7487306, 2617 6  0
2201218 7487798, 1404 5  0
2201218 7488066, 2967 4  0
2201218 7488760, 6131 3  0
2201218 7488879, 10682 2  0
2201218 7488922, 14547 1  0
2201219 7253415, 12 33  0
2201219 7378517, 33 32  0
2201219 7412680, 57 31  0
2201219 7463910, 317 30  0
2201219 7472215, 540 29  0
2201219 7477861, 876 28  0
2201219 7479853, 963 27  0
2201219 7481996, 1456 26  0
2201219 7483905, 1432 25  0
2201219 7484942, 1396 24  0
2201219 7485375, 2439 23  0
2201219 7485443, 2380 22  0
2201219 7486121, 3135 21  0
2201219 7487269, 5690 20  0
2201219 7487429, 3646 19  0
2201219 7487910, 7771 18  0
2201219 7487996, 8186 17  0
2201219 7488093, 9184 16  0
2201219 7488101, 7389 15  0
2201219 7488313, 12829 14  0
2201219 7488537, 18178 13  0
2201219 7488596, 16259 12  0
2201219 7488636, 18878 11  0
2201219 7488659, 21161 10  0
2201219 7488683, 19039 9  0
2201219 7488726, 23354 8  0
2201219 7488764, 22243 7  0
2201219 7488959, 54754 6  0
2201219 7488983, 56262 5  0
2201219 7489011, 67568 4  0
2201219 7489034, 58298 3  0
2201219 7489057, 130988 2  0
2201219 7489067, 181796 1  0
2201220 7473318, 575 35  0
2201220 7474508, 400 34  0
2201220 7479501, 941 33  0
2201220 7481248, 884 32  0
2201220 7481478, 745 31  0
2201220 7482408, 1390 30  0
2201220 7482887, 1429 29  0
2201220 7485732, 3288 28  0
2201220 7486200, 2968 27  0
2201220 7486296, 3581 26  0
2201220 7486356, 4244 25  0
2201220 7487527, 6111 24  0
2201220 7487694, 6789 23  0
2201220 7487955, 8229 22  0
2201220 7488020, 9894 21  0
2201220 7488091, 7383 20  0
2201220 7488364, 14497 19  0
2201220 7488458, 9373 18  0
2201220 7488566, 16323 17  0
2201220 7488576, 17217 16  0
2201220 7488627, 19376 15  0
2201220 7488658, 14239 14  0
2201220 7488675, 19539 13  0
2201220 7488810, 22358 12  0
2201220 7488936, 34646 11  0
2201220 7488960, 43054 10  0
2201220 7488970, 46337 9  0
2201220 7488987, 61508 8  0
2201220 7488990, 54719 7  0
2201220 7489002, 48193 6  0
2201220 7489008, 59936 5  0
2201220 7489017, 62492 4  0
2201220 7489019, 30820 3  0
2201220 7489030, 79204 2  0
2201220 7489047, 82464 1  0
2201221 7239091, 7 35  0
2201221 7299784, 27 34  0
2201221 7454542, 198 33  0
2201221 7465271, 333 32  0
2201221 7477119, 723 31  0
2201221 7485479, 2211 30  0
2201221 7486132, 3766 29  0
2201221 7486575, 4158 28  0
2201221 7487255, 6620 27  0
2201221 7487866, 8522 26  0
2201221 7488018, 7166 25  0
2201221 7488301, 10687 24  0
2201221 7488338, 13478 23  0
2201221 7488395, 13927 22  0
2201221 7488551, 18113 21  0
2201221 7488643, 20944 20  0
2201221 7488795, 29031 19  0
2201221 7488829, 31964 18  0
2201221 7488920, 25267 17  0
2201221 7488960, 50090 16  0
2201221 7488987, 67628 15  0
2201221 7489002, 60921 14  0
2201221 7489005, 69500 13  0
2201221 7489015, 72578 12  0
2201221 7489025, 57936 11  0
2201221 7489031, 58624 10  0
2201221 7489049, 89124 9  0
2201221 7489052, 97030 8  0
2201221 7489055, 101335 7  0
2201221 7489057, 146540 6  0
2201221 7489059, 126750 5  0
2201221 7489060, 130766 4  0
2201221 7489062, 187839 3  0
2201221 7489064, 156293 2  0
2201221 7489071, 297573 1  0
2201222 7337802, 11 34  0
2201222 7363246, 29 33  0
2201222 7369398, 37 32  0
2201222 7474957, 634 31  0
2201222 7478364, 808 30  0
2201222 7479154, 1007 29  0
2201222 7485851, 1823 28  0
2201222 7486040, 3647 27  0
2201222 7486378, 4053 26  0
2201222 7486814, 5061 25  0
2201222 7487444, 6344 24  0
2201222 7487803, 7508 23  0
2201222 7488059, 8999 22  0
2201222 7488084, 9729 21  0
2201222 7488173, 10979 20  0
2201222 7488241, 11875 19  0
2201222 7488246, 11017 18  0
2201222 7488523, 17759 17  0
2201222 7488733, 23911 16  0
2201222 7488839, 19065 15  0
2201222 7488906, 37073 14  0
2201222 7488935, 32687 13  0
2201222 7488957, 39754 12  0
2201222 7488984, 40212 11  0
2201222 7488997, 30591 10  0
2201222 7489001, 54236 9  0
2201222 7489015, 68692 8  0
2201222 7489021, 58631 7  0
2201222 7489038, 72348 6  0
2201222 7489055, 96426 5  0
2201222 7489056, 115001 4  0
2201222 7489057, 137666 3  0
2201222 7489059, 118577 2  0
2201222 7489060, 119724 1  0
2201223 5781174, 1 29  0
2201223 6057482, 1 28  0
2201223 6119496, 1 27  0
2201223 7373184, 25 26  0
2201223 7400111, 50 25  0
2201223 7421771, 67 24  0
2201223 7458607, 172 23  0
2201223 7470407, 261 22  0
2201223 7470420, 256 21  0
2201223 7480134, 525 20  0
2201223 7480919, 1078 19  0
2201223 7482428, 1165 18  0
2201223 7483310, 1145 17  0
2201223 7486990, 5383 16  0
2201223 7487101, 6056 15  0
2201223 7487786, 8910 14  0
2201223 7487832, 8924 13  0
2201223 7488411, 16082 12  0
2201223 7488490, 14439 11  0
2201223 7488492, 10621 10  0
2201223 7488573, 21892 9  0
2201223 7488590, 20230 8  0
2201223 7488884, 39951 7  0
2201223 7488902, 44115 6  0
2201223 7488904, 43957 5  0
2201223 7488929, 46103 4  0
2201223 7488973, 58528 3  0
2201223 7488985, 64040 2  0
2201223 7489032, 84299 1  0
2201224 7329870, 19 35  0
2201224 7443345, 88 34  0
2201224 7450505, 178 33  0
2201224 7473572, 566 32  0
2201224 7474097, 659 31  0
2201224 7475601, 489 30  0
2201224 7479904, 1105 29  0
2201224 7482563, 1638 28  0
2201224 7483032, 1233 27  0
2201224 7483529, 1680 26  0
2201224 7485793, 3102 25  0
2201224 7485859, 3315 24  0
2201224 7486537, 3743 23  0
2201224 7487121, 2882 22  0
2201224 7487325, 3643 21  0
2201224 7487403, 5545 20  0
2201224 7487552, 6508 19  0
2201224 7488028, 10880 18  0
2201224 7488065, 5238 17  0
2201224 7488089, 3458 16  0
2201224 7488115, 11421 15  0
2201224 7488172, 10439 14  0
2201224 7488306, 4181 13  0
2201224 7488363, 13111 12  0
2201224 7488377, 13201 11  0
2201224 7488556, 16557 10  0
2201224 7488570, 19998 9  0
2201224 7488811, 30968 8  0
2201224 7488865, 8347 7  0
2201224 7488867, 34025 6  0
2201224 7488895, 30886 5  0
2201224 7488897, 17569 4  0
2201224 7488982, 54422 3  0
2201224 7488996, 52273 2  0
2201224 7488998, 54307 1  0
2201225 5780220, 1 34  0
2201225 7325287, 30 31  0
2201225 7378445, 45 30  0
2201225 7409955, 45 29  0
2201225 7439070, 137 28  0
2201225 7445311, 108 27  0
2201225 7460678, 168 26  0
2201225 7466293, 250 25  0
2201225 7469769, 418 24  0
2201225 7471981, 323 23  0
2201225 7472484, 461 22  0
2201225 7472947, 360 21  0
2201225 7473461, 169 20  0
2201225 7478567, 618 19  0
2201225 7478865, 897 18  0
2201225 7480734, 922 17  0
2201225 7483254, 1110 16  0
2201225 7485648, 2918 15  0
2201225 7486140, 1234 14  0
2201225 7487176, 1440 13  0
2201225 7487474, 1523 12  0
2201225 7487984, 5646 11  0
2201225 7488032, 10430 10  0
2201225 7488181, 670 9  0
2201225 7488443, 15186 8  0
2201225 7488467, 12457 7  0
2201225 7488476, 3829 6  0
2201225 7488541, 11669 5  0
2201225 7488735, 23817 4  0
2201225 7488811, 27234 3  0
2201225 7488819, 21982 2  0
2201225 7488905, 23003 1  0
2201226 6288035, 1 34  0
2201226 6534360, 3 33  0
2201226 6841171, 1 32  0
2201226 6930231, 4 31  0
2201226 7022181, 2 30  0
2201226 7147149, 5 29  0
2201226 7272702, 16 28  0
2201226 7418705, 42 27  0
2201226 7428715, 99 26  0
2201226 7437327, 50 25  0
2201226 7442368, 12 24  0
2201226 7447115, 104 23  0
2201226 7454172, 106 22  0
2201226 7455797, 175 21  0
2201226 7463550, 140 20  0
2201226 7473076, 342 19  0
2201226 7477409, 416 18  0
2201226 7478446, 369 17  0
2201226 7478802, 786 16  0
2201226 7481893, 1375 15  0
2201226 7482368, 767 14  0
2201226 7482467, 445 13  0
2201226 7483658, 870 12  0
2201226 7483959, 1016 11  0
2201226 7485148, 1656 10  0
2201226 7486805, 1785 9  0
2201226 7487825, 2773 8  0
2201226 7487948, 2220 7  0
2201226 7488088, 10450 6  0
2201226 7488139, 4679 5  0
2201226 7488418, 6451 4  0
2201226 7488426, 9626 3  0
2201226 7488953, 20669 2  0
2201226 7489028, 59333 1  0
2201227 7018328, 5 35  0
2201227 7395077, 3 34  0
2201227 7414304, 75 33  0
2201227 7463773, 317 32  0
2201227 7477586, 847 31  0
2201227 7481743, 294 30  0
2201227 7482365, 1557 29  0
2201227 7487458, 7235 28  0
2201227 7487643, 5724 27  0
2201227 7487884, 9739 26  0
2201227 7487888, 10225 25  0
2201227 7487917, 5804 24  0
2201227 7488151, 9445 23  0
2201227 7488272, 13163 22  0
2201227 7488393, 16802 21  0
2201227 7488504, 18433 20  0
2201227 7488511, 18932 19  0
2201227 7488535, 20427 18  0
2201227 7488544, 13545 17  0
2201227 7488573, 21976 16  0
2201227 7488594, 21717 15  0
2201227 7488619, 20744 14  0
2201227 7488751, 27273 13  0
2201227 7488864, 37286 12  0
2201227 7488872, 39306 11  0
2201227 7488882, 41707 10  0
2201227 7488902, 44258 9  0
2201227 7488904, 42754 8  0
2201227 7488913, 25295 7  0
2201227 7488915, 37602 6  0
2201227 7488929, 42730 5  0
2201227 7488968, 55892 4  0
2201227 7488989, 67318 3  0
2201227 7488998, 68154 2  0
2201227 7489006, 55274 1  0
2201228 7384476, 47 31  0
2201228 7392498, 46 30  0
2201228 7471312, 432 29  0
2201228 7478494, 707 28  0
2201228 7479732, 842 27  0
2201228 7482485, 231 26  0
2201228 7483564, 1705 25  0
2201228 7483900, 1697 24  0
2201228 7485286, 1986 23  0
2201228 7486024, 3413 22  0
2201228 7486390, 3510 21  0
2201228 7486614, 4309 20  0
2201228 7487215, 4860 19  0
2201228 7487343, 6509 18  0
2201228 7487371, 5089 17  0
2201228 7487629, 3340 16  0
2201228 7487743, 7338 15  0
2201228 7488437, 13928 14  0
2201228 7488577, 15309 13  0
2201228 7488748, 26627 12  0
2201228 7488781, 15117 11  0
2201228 7488851, 17526 10  0
2201228 7488917, 18145 9  0
2201228 7488949, 44175 8  0
2201228 7488964, 28160 7  0
2201228 7488965, 35165 6  0
2201228 7488998, 57482 5  0
2201228 7489044, 64271 4  0
2201228 7489049, 75001 3  0
2201228 7489059, 103663 2  0
2201228 7489060, 102890 1  0
2201229 7420510, 87 35  0
2201229 7459113, 270 34  0
2201229 7470471, 497 33  0
2201229 7472906, 220 32  0
2201229 7475029, 295 31  0
2201229 7477742, 740 30  0
2201229 7478559, 960 29  0
2201229 7484403, 1079 28  0
2201229 7484563, 2069 27  0
2201229 7485802, 3419 26  0
2201229 7485822, 3310 25  0
2201229 7486055, 3835 24  0
2201229 7486604, 4272 23  0
2201229 7486678, 4834 22  0
2201229 7486703, 4238 21  0
2201229 7486817, 3260 20  0
2201229 7486826, 2526 19  0
2201229 7487208, 5545 18  0
2201229 7487403, 6054 17  0
2201229 7487859, 5943 16  0
2201229 7487929, 9069 15  0
2201229 7487943, 7649 14  0
2201229 7488002, 9250 13  0
2201229 7488046, 9087 12  0
2201229 7488206, 7196 11  0
2201229 7488268, 12813 10  0
2201229 7488390, 13086 9  0
2201229 7488467, 13402 8  0
2201229 7488740, 24448 7  0
2201229 7488867, 30633 6  0
2201229 7488913, 34405 5  0
2201229 7488918, 35490 4  0
2201229 7488927, 37603 3  0
